positive,negative,not,degree-1,degree-2,degree-3,degree-4,degree-5,degree-6
,殺氣,,,,,,,
,傻眼,,,,,,,
,傷,,,,,,,
,傷懷,,,,,,,
,傷神,,,,,,,
,懾,,,,,,,
,申討,,,,,,,
,申飭,,,,,,,
,深惡痛絕,,,,,,,
,深以為異,,,,,,,
,聲討,,,,,,,
,生恐,,,,,,,
,生疑,,,,,,,
,失悔,,,,,,,
,失節,,,,,,,
,使性子,,,,,,,
,示不滿,,,,,,,
,示不同意,,,,,,,
,示怒,,,,,,,
,勢成騎虎,,,,,,,
,視同兒戲,,,,,,,
,視同螻蟻,,,,,,,
,首鼠兩端,,,,,,,
,受窘,,,,,,,
,疏,,,,,,,
,數落,,,,,,,
,數說,,,,,,,
,恕,,,,,,,
,恕宥,,,,,,,
,說,,,,,,,
,說不,,,,,,,
,說風涼話,,,,,,,
,說怪話,,,,,,,
,酸,,,,,,,
,酸楚,,,,,,,
,酸溜溜,,,,,,,
,縮頭縮腦,,,,,,,
,談虎色變,,,,,,,
,討,,,,,,,
,啼笑皆非,,,,,,,
,體諒,,,,,,,
,體念,,,,,,,
,體惜,,,,,,,
,體恤,,,,,,,
,天怒人怨,,,,,,,
,挑刺兒,,,,,,,
,挑毛病,,,,,,,
,同病相憐,,,,,,,
,痛,,,,,,,
,痛不欲生,,,,,,,
,痛斥,,,,,,,
,痛惡,,,,,,,
,痛罵,,,,,,,
,痛惜,,,,,,,
,痛責,,,,,,,
,兔死狐悲,,,,,,,
,頹,,,,,,,
,頹靡,,,,,,,
,頹然,,,,,,,
,頹唐,,,,,,,
,唾罵,,,,,,,
,玩,,,,,,,
,惋,,,,,,,
,萬箭穿心,,,,,,,
,萬念俱灰,,,,,,,
,往心裡去,,,,,,,
,望而生畏,,,,,,,
,微慍,,,,,,,
,惟恐,,,,,,,
,委決不下,,,,,,,
,委靡,,,,,,,
,委罪,,,,,,,
,畏,,,,,,,
,畏忌,,,,,,,
,畏葸,,,,,,,
,聞風喪膽,,,,,,,
,問心有愧,,,,,,,
,窩火,,,,,,,
,窩氣,,,,,,,
,窩心,,,,,,,
,無地自容,,,,,,,
,無名火起,,,,,,,
,無視,,,,,,,
,無所謂,,,,,,,
,無心,,,,,,,
,無意,,,,,,,
,物傷其類,,,,,,,
,惜,,,,,,,
,系,,,,,,,
,繫念,,,,,,,
,戲侮,,,,,,,
,下不來臺,,,,,,,
,下不了臺,,,,,,,
,銜恨,,,,,,,
,銜冤,,,,,,,
,嫌,,,,,,,
,嫌厭,,,,,,,
,嫌憎,,,,,,,
,想不開,,,,,,,
,問罪,,,,,,,
,向隅,,,,,,,
,向隅而泣,,,,,,,
,消沉,,,,,,,
,小看,,,,,,,
,小瞧,,,,,,,
,小視,,,,,,,
,笑罵,,,,,,,
,洩勁,,,,,,,
,洩氣,,,,,,,
,心膽俱裂,,,,,,,
,心灰意懶,,,,,,,
,心急火燎,,,,,,,
,心急如火,,,,,,,
,心焦,,,,,,,
,心焦如焚,,,,,,,
,心驚膽顫,,,,,,,
,心裡堵得慌,,,,,,,
,心情沉重,,,,,,,
,心如刀絞,,,,,,,
,心如死灰,,,,,,,
,心緒沉落,,,,,,,
,杏眼圓睜,,,,,,,
,羞,,,,,,,
,羞慚,,,,,,,
,羞答答,,,,,,,
,羞惡,,,,,,,
,羞窘,,,,,,,
,羞人,,,,,,,
,羞人答答,,,,,,,
,羞羞答答,,,,,,,
,羞臊,,,,,,,
,虛驚,,,,,,,
,噓,,,,,,,
,恤,,,,,,,
,絮煩,,,,,,,
,懸,,,,,,,
,懸念,,,,,,,
,懸系,,,,,,,
,懸心,,,,,,,
,訓戒,,,,,,,
,訓誡,,,,,,,
,訝,,,,,,,
,訝然失色,,,,,,,
,厭,,,,,,,
,厭恨,,,,,,,
,厭膩,,,,,,,
,厭氣,,,,,,,
,厭棄,,,,,,,
,要緊,,,,,,,
,一怒之下,,,,,,,
,一怔,,,,,,,
,疑,,,,,,,
,疑慮重重,,,,,,,
,抑鬱寡歡,,,,,,,
,意意思思,,,,,,,
,異,,,,,,,
,引咎自責,,,,,,,
,隱憂,,,,,,,
,幽憂,,,,,,,
,憂,,,,,,,
,憂煩,,,,,,,
,憂憤,,,,,,,
,憂思,,,,,,,
,憂心如焚,,,,,,,
,憂怨,,,,,,,
,憂悒,,,,,,,
,猶疑,,,,,,,
,油煎火燎,,,,,,,
,遊移,,,,,,,
,於心有愧,,,,,,,
,虞,,,,,,,
,鬱,,,,,,,
,鬱鬱不樂,,,,,,,
,鬱鬱寡歡,,,,,,,
,讋,,,,,,,
,原,,,,,,,
,原諒,,,,,,,
,原宥,,,,,,,
,怨,,,,,,,
,怨悔,,,,,,,
,怨聲載道,,,,,,,
,在乎,,,,,,,
,糟心,,,,,,,
,責,,,,,,,
,責斥,,,,,,,
,責怨,,,,,,,
,憎,,,,,,,
,咋舌,,,,,,,
,炸,,,,,,,
,瞻前顧後,,,,,,,
,戰兢兢,,,,,,,
,張口結舌,,,,,,,
,找茬,,,,,,,
,找茬兒,,,,,,,
,找碴兒,,,,,,,
,找岔子,,,,,,,
,鍼砭,,,,,,,
,震,,,,,,,
,震悚,,,,,,,
,睜一眼閉一眼,,,,,,,
,睜一隻眼閉一隻眼,,,,,,,
,睜隻眼閉隻眼,,,,,,,
,怔,,,,,,,
,怔神兒,,,,,,,
,怔怔,,,,,,,
,怔住,,,,,,,
,怔忪,,,,,,,
,直眉瞪眼,,,,,,,
,指斥,,,,,,,
,指雞罵狗,,,,,,,
,指桑罵槐,,,,,,,
,置於腦後,,,,,,,
,置之不顧,,,,,,,
,置之度外,,,,,,,
,置之腦後,,,,,,,
,滯呆,,,,,,,
,周恤,,,,,,,
,咒,,,,,,,
,咒詛,,,,,,,
,抓瞎,,,,,,,
,椎心泣血,,,,,,,
,追悔,,,,,,,
,追悔莫及,,,,,,,
,著忙,,,,,,,
,自慚形穢,,,,,,,
,自咎,,,,,,,
,自疚,,,,,,,
,自餒,,,,,,,
,詛,,,,,,,
,詛罵,,,,,,,
,左右兩難,,,,,,,
,做賊心虛,,,,,,,
,作難,,,,,,,
,作色,,,,,,,
,倥,,,,,,,
,訕訕,,,,,,,
,訶,,,,,,,
,詰,,,,,,,
,詬,,,,,,,
,詬病,,,,,,,
,誚,,,,,,,
,誒,,,,,,,
,誶,,,,,,,
,謫,,,,,,,
,矍,,,,,,,
,芴,,,,,,,
,菀,,,,,,,
,葸,,,,,,,
,奚幸,,,,,,,
,挹,,,,,,,
,掎,,,,,,,
,掊,,,,,,,
,掊擊,,,,,,,
,摭,,,,,,,
,擼,,,,,,,
,攛,,,,,,,
,叱,,,,,,,
,叱罵,,,,,,,
,嘵,,,,,,,
,呲,,,,,,,
,嘖有煩言,,,,,,,
,嗔,,,,,,,
,嗔斥,,,,,,,
,嗔怪,,,,,,,
,彷,,,,,,,
,彷徨,,,,,,,
,懺,,,,,,,
,懺悔,,,,,,,
,憮,,,,,,,
,慪,,,,,,,
,慪氣,,,,,,,
,忡,,,,,,,
,悵,,,,,,,
,悵恨,,,,,,,
,悵然,,,,,,,
,悵然若失,,,,,,,
,悵悵,,,,,,,
,悵惘,,,,,,,
,愴,,,,,,,
,愴怳,,,,,,,
,愴恍,,,,,,,
,愴惻,,,,,,,
,忪,,,,,,,
,忸,,,,,,,
,忸怩,,,,,,,
,怵,,,,,,,
,怵然,,,,,,,
,怵頭,,,,,,,
,怛,,,,,,,
,怏,,,,,,,
,怏然,,,,,,,
,怏然不悅,,,,,,,
,怏怏,,,,,,,
,怏怏不樂,,,,,,,
,怍,,,,,,,
,怫,,,,,,,
,怫然,,,,,,,
,怫然不悅,,,,,,,
,怫然作色,,,,,,,
,慟,,,,,,,
,惻,,,,,,,
,惻然,,,,,,,
,惻隱,,,,,,,
,恂,,,,,,,
,悚,,,,,,,
,悒,,,,,,,
,悒悶,,,,,,,
,悒鬱,,,,,,,
,悒鬱寡歡,,,,,,,
,悒悒不樂,,,,,,,
,悛,,,,,,,
,悻然,,,,,,,
,悻悻然,,,,,,,
,惝恍,,,,,,,
,惘,,,,,,,
,惘然,,,,,,,
,惘然若失,,,,,,,
,惆,,,,,,,
,慍,,,,,,,
,愕,,,,,,,
,愕然,,,,,,,
,愣,,,,,,,
,愣神兒,,,,,,,
,愣怔,,,,,,,
,愣怔怔,,,,,,,
,愣住,,,,,,,
,惴,,,,,,,
,愀,,,,,,,
,慊,,,,,,,
,懍,,,,,,,
,忝,,,,,,,
,閔,,,,,,,
,瀆,,,,,,,
,宥,,,,,,,
,騫,,,,,,,
,嬈,,,,,,,
,嬉笑怒罵,,,,,,,
,槁木死灰,,,,,,,
,殫,,,,,,,
,軫,,,,,,,
,戟指,,,,,,,
,靦腆,,,,,,,
,膈應,,,,,,,
,臊,,,,,,,
,恝置,,,,,,,
,恚,,,,,,,
,恚憤,,,,,,,
,恚恨,,,,,,,
,恚怒,,,,,,,
,恧,,,,,,,
,愍,,,,,,,
,憝,,,,,,,
,懣,,,,,,,
,瞠目結舌,,,,,,,
,瞠然,,,,,,,
,詈,,,,,,,
,詈罵,,,,,,,
,癉,,,,,,,
,竦,,,,,,,
,矜,,,,,,,
,赧,,,,,,,
,赧然,,,,,,,
,赧顏,,,,,,,
,踟,,,,,,,
,踟躇,,,,,,,
,踟躕,,,,,,,
,踟躕不前,,,,,,,
,躕,,,,,,,
,觖,,,,,,,
,觖望,,,,,,,
,訾議,,,,,,,
,黯然神傷,,,,,,,
,黯然銷魂,,,,,,,
,僄,,,,,,,
,囉囉唆唆,,,,,,,
,囉囉嗦嗦,,,,,,,
,囉裡囉唆,,,,,,,
,囉裡囉嗦,,,,,,,
,囉嗦,,,,,,,
,噲,,,,,,,
,奓著頭髮,,,,,,,
,婞,,,,,,,
,婞直,,,,,,,
,崒,,,,,,,
,弇陋,,,,,,,
,惛,,,,,,,
,惼,,,,,,,
,檮昧,,,,,,,
,獪,,,,,,,
,哀鴻遍野,,,,,,,
,矮,,,,,,,
,礙難,,,,,,,
,愛搭不理,,,,,,,
,愛理不理,,,,,,,
,暗,,,,,,,
,暗暗,,,,,,,
,暗沉沉,,,,,,,
,暗地裡,,,,,,,
,暗黑,,,,,,,
,暗裡,,,,,,,
,闇昧,,,,,,,
,闇弱,,,,,,,
,暗無天日,,,,,,,
,暗下,,,,,,,
,暗自,,,,,,,
,暗朦,,,,,,,
,岸然,,,,,,,
,骯裡骯髒,,,,,,,
,凹凸,,,,,,,
,凹凸不平,,,,,,,
,傲,,,,,,,
,傲岸,,,,,,,
,八面玲瓏,,,,,,,
,跋扈,,,,,,,
,霸道,,,,,,,
,霸氣,,,,,,,
,白,,,,,,,
,白白,,,,,,,
,白痴般,,,,,,,
,白搭,,,,,,,
,白忙,,,,,,,
,白忙活兒,,,,,,,
,白衣蒼狗,,,,,,,
,白雲蒼狗,,,,,,,
,百孔千瘡,,,,,,,
,稗,,,,,,,
,板板六十四,,,,,,,
,板滯,,,,,,,
,半半拉拉,,,,,,,
,半路出家,,,,,,,
,半新不舊,,,,,,,
,半真半假,,,,,,,
,薄倖,,,,,,,
,保殘守缺,,,,,,,
,抱殘守缺,,,,,,,
,暴,,,,,,,
,暴烈,,,,,,,
,暴戾恣睢,,,,,,,
,爆炸性,,,,,,,
,悲觀地,,,,,,,
,卑,,,,,,,
,卑鄙無恥,,,,,,,
,卑陋,,,,,,,
,卑怯,,,,,,,
,卑俗,,,,,,,
,卑瑣,,,,,,,
,卑汙,,,,,,,
,卑猥,,,,,,,
,背地,,,,,,,
,背地裡,,,,,,,
,背光,,,,,,,
,背後,,,,,,,
,背悔,,,,,,,
,背靜,,,,,,,
,背靠背,,,,,,,
,背理,,,,,,,
,背令,,,,,,,
,揹人,,,,,,,
,背時,,,,,,,
,背陰,,,,,,,
,被動,,,,,,,
,被動式,,,,,,,
,被動性,,,,,,,
,本本主義,,,,,,,
,笨,,,,,,,
,笨頭笨腦,,,,,,,
,笨重,,,,,,,
,比肩接踵,,,,,,,
,鄙吝,,,,,,,
,鄙陋,,,,,,,
,鄙俗,,,,,,,
,鄙俚,,,,,,,
,蔽塞,,,,,,,
,閉塞,,,,,,,
,必修,,,,,,,
,變化不定,,,,,,,
,變化多端,,,,,,,
,變化萬千,,,,,,,
,變化無常,,,,,,,
,變化無窮,,,,,,,
,變幻不定,,,,,,,
,變幻莫測,,,,,,,
,表裡不一,,,,,,,
,憋拗,,,,,,,
,彆彆扭扭,,,,,,,
,別有用心,,,,,,,
,冰冷,,,,,,,
,冰炭不相容,,,,,,,
,秉性剌戾,,,,,,,
,病病歪歪,,,,,,,
,病歪歪,,,,,,,
,病殃殃,,,,,,,
,病懨懨,,,,,,,
,波譎雲詭,,,,,,,
,駁雜,,,,,,,
,捕風捉影,,,,,,,
,不愛交際,,,,,,,
,不辨菽麥,,,,,,,
,不才,,,,,,,
,不成材,,,,,,,
,不成話,,,,,,,
,不成器,,,,,,,
,不成體統,,,,,,,
,不成樣子,,,,,,,
,不打緊,,,,,,,
,不大重要,,,,,,,
,不當,,,,,,,
,不到黃河心不死,,,,,,,
,不得當,,,,,,,
,不得勁,,,,,,,
,不得了,,,,,,,
,不得體,,,,,,,
,不登大雅之堂,,,,,,,
,不等,,,,,,,
,不對茬兒,,,,,,,
,不對稱,,,,,,,
,不對付,,,,,,,
,不方便,,,,,,,
,不分青紅皁白,,,,,,,
,不分皁白,,,,,,,
,不乾不淨,,,,,,,
,不更事,,,,,,,
,不共戴天,,,,,,,
,不夠格,,,,,,,
,不夠完善,,,,,,,
,不夠意思,,,,,,,
,不關痛癢,,,,,,,
,不管用,,,,,,,
,不光彩,,,,,,,
,不光明,,,,,,,
,不軌,,,,,,,
,不好吃,,,,,,,
,不好看,,,,,,,
,不好客,,,,,,,
,不好賣,,,,,,,
,不好使,,,,,,,
,不好聽,,,,,,,
,不好用,,,,,,,
,不和藹,,,,,,,
,不合情理,,,,,,,
,不合時令,,,,,,,
,不合算,,,,,,,
,不合語法,,,,,,,
,不划算,,,,,,,
,不濟,,,,,,,
,不濟事,,,,,,,
,不儉省,,,,,,,
,不盡,,,,,,,
,不盡如人意,,,,,,,
,不敬,,,,,,,
,不絕如縷,,,,,,,
,不開化,,,,,,,
,不堪入耳,,,,,,,
,不堪入目,,,,,,,
,不堪設想,,,,,,,
,不堪一擊,,,,,,,
,不堪造就,,,,,,,
,不科學,,,,,,,
,不可補救,,,,,,,
,不可讀,,,,,,,
,不可告人,,,,,,,
,不可更新,,,,,,,
,不可恢復,,,,,,,
,不可降解,,,,,,,
,不可接受,,,,,,,
,不可救藥,,,,,,,
,不可逆轉,,,,,,,
,不可容忍,,,,,,,
,不可挽回,,,,,,,
,不可行,,,,,,,
,不可逾越,,,,,,,
,不客氣,,,,,,,
,不寬容,,,,,,,
,不郎不秀,,,,,,,
,不冷不熱,,,,,,,
,不理智,,,,,,,
,不利於健康,,,,,,,
,不力,,,,,,,
,不靈敏,,,,,,,
,不靈巧,,,,,,,
,不美觀,,,,,,,
,不妙,,,,,,,
,不民主,,,,,,,
,不明顯,,,,,,,
,不明智,,,,,,,
,不名一文,,,,,,,
,不能解救,,,,,,,
,不努力,,,,,,,
,不起眼兒,,,,,,,
,不巧,,,,,,,
,不清不白,,,,,,,
,不清不楚,,,,,,,
,不清潔,,,,,,,
,不確切,,,,,,,
,不仁不義,,,,,,,
,不人道,,,,,,,
,不三不四,,,,,,,
,不善,,,,,,,
,不善交際,,,,,,,
,不善交談,,,,,,,
,不甚重要,,,,,,,
,不慎,,,,,,,
,不勝,,,,,,,
,不適宜,,,,,,,
,不適應,,,,,,,
,不適於居住,,,,,,,
,不熟練,,,,,,,
,不疼不癢,,,,,,,
,不痛不癢,,,,,,,
,不透明,,,,,,,
,不透氣,,,,,,,
,不妥,,,,,,,
,不為人知,,,,,,,
,不文明,,,,,,,
,不文雅,,,,,,,
,不問青紅皁白,,,,,,,
,不問三七二十一,,,,,,,
,不問是非情由,,,,,,,
,不顯眼,,,,,,,
,不現實,,,,,,,
,不相適應,,,,,,,
,不詳,,,,,,,
,不詳盡,,,,,,,
,不消化,,,,,,,
,不興,,,,,,,
,不行,,,,,,,
,不雅,,,,,,,
,不雅緻,,,,,,,
,不要緊,,,,,,,
,不宜居住,,,,,,,
,不宜說出口,,,,,,,
,不真誠,,,,,,,
,不貞潔,,,,,,,
,不正派,,,,,,,
,不值得羨慕,,,,,,,
,不值一文,,,,,,,
,不中用,,,,,,,
,不周,,,,,,,
,不著邊際,,,,,,,
,不著調,,,,,,,
,不足道,,,,,,,
,不足掛齒,,,,,,,
,不足輕重,,,,,,,
,不足為外人道,,,,,,,
,不足為訓,,,,,,,
,不稂不莠,,,,,,,
,不虔誠,,,,,,,
,財迷心竅,,,,,,,
,殘,,,,,,,
,殘敗,,,,,,,
,殘毒,,,,,,,
,殘酷無情,,,,,,,
,殘虐,,,,,,,
,殘破,,,,,,,
,殘破不全,,,,,,,
,殘缺,,,,,,,
,殘缺不全,,,,,,,
,殘損,,,,,,,
,慘,,,,,,,
,慘淡,,,,,,,
,慘毒,,,,,,,
,慘苦,,,,,,,
,慘厲,,,,,,,
,慘無人道,,,,,,,
,蒼白,,,,,,,
,蒼白無力,,,,,,,
,蒼涼,,,,,,,
,蒼茫,,,,,,,
,操切,,,,,,,
,糙,,,,,,,
,草,,,,,,,
,草草,,,,,,,
,草荒,,,,,,,
,草木皆兵,,,,,,,
,策略,,,,,,,
,策略性,,,,,,,
,差,,,,,,,
,差點兒,,,,,,,
,差可,,,,,,,
,豺狼成性,,,,,,,
,豺狼當道,,,,,,,
,纏手,,,,,,,
,顫顫巍巍,,,,,,,
,顫顫悠悠,,,,,,,
,顫巍巍,,,,,,,
,猖,,,,,,,
,長長短短,,,,,,,
,長篇大論,,,,,,,
,長篇累牘,,,,,,,
,長線,,,,,,,
,超標,,,,,,,
,超常,,,,,,,
,超然,,,,,,,
,超重,,,,,,,
,朝不保夕,,,,,,,
,朝不謀夕,,,,,,,
,朝秦暮楚,,,,,,,
,朝三暮四,,,,,,,
,潮,,,,,,,
,沉滯,,,,,,,
,陳,,,,,,,
,成事不足，敗事有餘,,,,,,,
,逞性,,,,,,,
,逞性子,,,,,,,
,吃不開,,,,,,,
,吃勁,,,,,,,
,吃力,,,,,,,
,吃重,,,,,,,
,痴,,,,,,,
,痴痴,,,,,,,
,痴呆,,,,,,,
,痴呆呆,,,,,,,
,痴傻,,,,,,,
,痴愚,,,,,,,
,侈,,,,,,,
,侈靡,,,,,,,
,侈糜,,,,,,,
,赤地千里,,,,,,,
,赤裸裸淫穢,,,,,,,
,充滿危機,,,,,,,
,衝昏頭腦,,,,,,,
,醜,,,,,,,
,臭,,,,,,,
,臭不可聞,,,,,,,
,臭哄哄,,,,,,,
,臭烘烘,,,,,,,
,臭名遠揚,,,,,,,
,臭名昭彰,,,,,,,
,臭名昭著,,,,,,,
,臭氣沖天,,,,,,,
,臭氣熏天,,,,,,,
,初出茅廬,,,,,,,
,出手闊氣,,,,,,,
,觸目驚心,,,,,,,
,穿不出去,,,,,,,
,穿不得,,,,,,,
,串秧兒,,,,,,,
,瘡痍滿目,,,,,,,
,蠢,,,,,,,
,蠢笨,,,,,,,
,蠢頭蠢腦,,,,,,,
,刺鼻,,,,,,,
,次,,,,,,,
,次等,,,,,,,
,從動,,,,,,,
,從心所欲,,,,,,,
,從嚴,,,,,,,
,從重,,,,,,,
,粗,,,,,,,
,粗笨,,,,,,,
,粗鄙,,,,,,,
,粗放,,,,,,,
,粗拉,,,,,,,
,粗裡粗氣,,,,,,,
,粗率,,,,,,,
,粗蠻,,,,,,,
,粗莽,,,,,,,
,粗淺,,,,,,,
,粗澀,,,,,,,
,粗手笨腳,,,,,,,
,粗疏,,,,,,,
,粗線條,,,,,,,
,粗枝大葉,,,,,,,
,粗製濫造,,,,,,,
,粗重,,,,,,,
,粗拙,,,,,,,
,粗獷,,,,,,,
,促狹,,,,,,,
,村氣,,,,,,,
,村野,,,,,,,
,寸草不生,,,,,,,
,錯,,,,,,,
,錯誤百出,,,,,,,
,錯雜,,,,,,,
,錯綜複雜,,,,,,,
,大錯而特錯,,,,,,,
,大錯特錯,,,,,,,
,大大咧咧,,,,,,,
,大而笨拙,,,,,,,
,大而化之,,,,,,,
,大而無當,,,,,,,
,大海撈針,,,,,,,
,大面額,,,,,,,
,大謬不然,,,,,,,
,大手大腳,,,,,,,
,大肆,,,,,,,
,大搖大擺,,,,,,,
,大咧咧,,,,,,,
,呆痴,,,,,,,
,呆鈍,,,,,,,
,呆氣,,,,,,,
,呆傻,,,,,,,
,呆頭呆腦,,,,,,,
,歹,,,,,,,
,歹毒,,,,,,,
,帶有敵意,,,,,,,
,殆,,,,,,,
,單,,,,,,,
,單薄,,,,,,,
,單調枯燥,,,,,,,
,單弱,,,,,,,
,膽小怕事,,,,,,,
,膽小如鼠,,,,,,,
,淡,,,,,,,
,淡薄,,,,,,,
,淡淡,,,,,,,
,淡然,,,,,,,
,誕,,,,,,,
,蕩,,,,,,,
,刀光劍影,,,,,,,
,蹈常襲故,,,,,,,
,倒胃口,,,,,,,
,道貌岸然,,,,,,,
,德行,,,,,,,
,德性,,,,,,,
,得寸進尺,,,,,,,
,得隴望蜀,,,,,,,
,得魚忘筌,,,,,,,
,燈紅酒綠,,,,,,,
,燈火闌珊,,,,,,,
,等而下之,,,,,,,
,等外,,,,,,,
,等因奉此,,,,,,,
,低,,,,,,,
,低卑,,,,,,,
,低標準,,,,,,,
,低層,,,,,,,
,低檔,,,,,,,
,低端,,,,,,,
,低階,,,,,,,
,低賤,,,,,,,
,低能,,,,,,,
,低人一等,,,,,,,
,低三下四,,,,,,,
,低俗,,,,,,,
,低效,,,,,,,
,低效能,,,,,,,
,低值,,,,,,,
,低智,,,,,,,
,低質,,,,,,,
,滴里嘟嚕,,,,,,,
,地位低下,,,,,,,
,地下,,,,,,,
,地獄般,,,,,,,
,顛連,,,,,,,
,顛三倒四,,,,,,,
,凋敝,,,,,,,
,刁,,,,,,,
,刁惡,,,,,,,
,刁悍,,,,,,,
,刁滑,,,,,,,
,刁賴,,,,,,,
,刁蠻,,,,,,,
,刁鑽,,,,,,,
,刁鑽古怪,,,,,,,
,調皮,,,,,,,
,鼎沸,,,,,,,
,丟魂,,,,,,,
,丟三落四,,,,,,,
,東倒西歪,,,,,,,
,冬烘,,,,,,,
,動盪不安,,,,,,,
,動魄驚心,,,,,,,
,動作遲頓,,,,,,,
,毒,,,,,,,
,毒辣,,,,,,,
,度量小,,,,,,,
,短視,,,,,,,
,鈍,,,,,,,
,多變,,,,,,,
,多病,,,,,,,
,多事,,,,,,,
,多義,,,,,,,
,惰,,,,,,,
,惰性,,,,,,,
,訛,,,,,,,
,惡狠狠,,,,,,,
,惡煞煞,,,,,,,
,惡濁,,,,,,,
,餓殍遍野,,,,,,,
,耳生,,,,,,,
,二把刀,,,,,,,
,二手,,,,,,,
,二五眼,,,,,,,
,發膩,,,,,,,
,發育不全,,,,,,,
,乏,,,,,,,
,翻手為雲，覆手為雨,,,,,,,
,翻雲覆雨,,,,,,,
,繁複,,,,,,,
,繁亂,,,,,,,
,繁難,,,,,,,
,繁冗,,,,,,,
,繁瑣,,,,,,,
,繁蕪,,,,,,,
,繁雜,,,,,,,
,繁重,,,,,,,
,繁縟,,,,,,,
,煩難,,,,,,,
,煩冗,,,,,,,
,煩瑣,,,,,,,
,煩囂,,,,,,,
,反,,,,,,,
,反對稱,,,,,,,
,反反覆覆,,,,,,,
,反面,,,,,,,
,犯有罪行,,,,,,,
,飯桶,,,,,,,
,泛,,,,,,,
,泛泛,,,,,,,
,放誕,,,,,,,
,放蕩不羈,,,,,,,
,放浪,,,,,,,
,菲,,,,,,,
,菲薄,,,,,,,
,非,,,,,,,
,非分,,,,,,,
,非婚生,,,,,,,
,非禮,,,,,,,
,非人,,,,,,,
,非生產性,,,,,,,
,非正常,,,,,,,
,非正統,,,,,,,
,非正義,,,,,,,
,廢,,,,,,,
,廢弛,,,,,,,
,廢舊,,,,,,,
,沸沸揚揚,,,,,,,
,費,,,,,,,
,費工夫,,,,,,,
,費功夫,,,,,,,
,費勁,,,,,,,
,費時,,,,,,,
,費事,,,,,,,
,紛,,,,,,,
,紛繁,,,,,,,
,紛亂,,,,,,,
,紛擾,,,,,,,
,紛雜,,,,,,,
,封閉,,,,,,,
,封閉式,,,,,,,
,封閉型,,,,,,,
,封建,,,,,,,
,鋒芒畢露,,,,,,,
,風吹日曬,,,,,,,
,風刀霜劍,,,,,,,
,風風火火,,,,,,,
,風聲鶴唳,,,,,,,
,風雨飄搖,,,,,,,
,瘋瘋癲癲,,,,,,,
,瘋狂般,,,,,,,
,瘋癲癲,,,,,,,
,否,,,,,,,
,膚泛,,,,,,,
,膚皮潦草,,,,,,,
,浮,,,,,,,
,浮泛,,,,,,,
,浮光掠影,,,,,,,
,浮滑,,,,,,,
,浮皮蹭癢,,,,,,,
,浮漂,,,,,,,
,浮淺,,,,,,,
,浮噪,,,,,,,
,腐敗墮落,,,,,,,
,腐臭,,,,,,,
,腐惡,,,,,,,
,腐化,,,,,,,
,腐化墮落,,,,,,,
,腐舊,,,,,,,
,腐朽沒落,,,,,,,
,覆雨翻雲,,,,,,,
,復,,,,,,,
,複合,,,,,,,
,複合式,,,,,,,
,複合型,,,,,,,
,複雜多變,,,,,,,
,傅會,,,,,,,
,負,,,,,,,
,負面,,,,,,,
,富餘,,,,,,,
,附會,,,,,,,
,嘎,,,,,,,
,概念化,,,,,,,
,乾巴,,,,,,,
,乾巴巴,,,,,,,
,乾癟,,,,,,,
,乾癟癟,,,,,,,
,乾乾巴巴,,,,,,,
,剛愎自用,,,,,,,
,高昂,,,,,,,
,高不成，低不就,,,,,,,
,高成本,,,,,,,
,高價位,,,,,,,
,高難,,,,,,,
,高難度,,,,,,,
,疙疙瘩瘩,,,,,,,
,疙裡疙瘩,,,,,,,
,隔靴搔癢,,,,,,,
,勾心鬥角,,,,,,,
,苟且,,,,,,,
,狗眼看人,,,,,,,
,垢,,,,,,,
,夠嗆,,,,,,,
,夠戧,,,,,,,
,孤,,,,,,,
,孤傲,,,,,,,
,孤傲不群,,,,,,,
,孤單單,,,,,,,
,孤孤單單,,,,,,,
,孤寡,,,,,,,
,孤立無援,,,,,,,
,孤零零,,,,,,,
,孤陋寡聞,,,,,,,
,古舊,,,,,,,
,古里古怪,,,,,,,
,固定不變,,,,,,,
,寡,,,,,,,
,寡淡,,,,,,,
,寡斷,,,,,,,
,寡了叭嘰,,,,,,,
,寡情,,,,,,,
,寡味,,,,,,,
,寡言,,,,,,,
,寡言少語,,,,,,,
,掛漏,,,,,,,
,掛名,,,,,,,
,掛一漏萬,,,,,,,
,乖謬,,,,,,,
,乖剌,,,,,,,
,乖戾,,,,,,,
,怪里怪氣,,,,,,,
,怪僻,,,,,,,
,官僚,,,,,,,
,官僚主義,,,,,,,
,光怪陸離,,,,,,,
,鬼,,,,,,,
,鬼計多端,,,,,,,
,鬼頭鬼腦,,,,,,,
,詭,,,,,,,
,詭祕,,,,,,,
,詭詐,,,,,,,
,詭譎,,,,,,,
,貴,,,,,,,
,過當,,,,,,,
,過分簡單化,,,,,,,
,過分擁擠,,,,,,,
,過了氣,,,,,,,
,過氣,,,,,,,
,過橋抽板,,,,,,,
,哈喇,,,,,,,
,海底撈月,,,,,,,
,海底撈針,,,,,,,
,害,,,,,,,
,駭人聽聞,,,,,,,
,憨,,,,,,,
,含含糊糊,,,,,,,
,含含混混,,,,,,,
,含糊不清,,,,,,,
,含糊其辭,,,,,,,
,含糊其詞,,,,,,,
,含混不清,,,,,,,
,含蓄,,,,,,,
,涵蓄,,,,,,,
,寒苦,,,,,,,
,寒素,,,,,,,
,寒酸,,,,,,,
